f_Hz,mag,mag_dB,phase_deg
548.441657612101,0.000952243705002054,-60.4250377929656,-0.718239560997696
565.5986461065,0.000952241327856243,-60.4250594761249,-0.740707748222714
583.29235942862,0.000952238799667826,-60.4250825370802,-0.76387875168701
601.539588027483,0.000952236110840516,-60.4251070633758,-0.787774551927096
620.357647610427,0.00095223325116845,-60.4251331481178,-0.812417816540903
639.764395574842,0.000952230209797493,-60.4251608903276,-0.837831921627109
659.778247953953,0.000952226975184066,-60.4251903953177,-0.864040973889904
680.418196892709,0.000952223535051381,-60.4252217750913,-0.891069833429527
701.703828670383,0.000952219876342886,-60.4252551487668,-0.918944137239447
723.655342286966,0.000952215985172768,-60.4252906430303,-0.947690323431712
746.293568631014,0.000952211846773307,-60.4253283926162,-0.977335656212555
769.639990247116,0.000952207445438901,-60.4253685408179,-1.007908251631
793.716761721755,0.000952202764466536,-60.4254112400317,-1.03943710412385
818.546730706903,0.000952197786092482,-60.4254566523349,-1.0719521138811
844.153459601298,0.000952192491424985,-60.4255049501004,-1.10548411505641
870.561247909986,0.000952186860372678,-60.4255563166507,-1.14006490484813
897.795155303332,0.000952180871568476,-60.4256109469529,-1.17572727347681
925.881025397395,0.000952174502288632,-60.4256690483583,-1.21250503508612
954.845510278229,0.000952167728366674,-60.4257308413886,-1.25043305959444
984.716095793377,0.000952160524101895,-60.425796560572,-1.28954730552563
1015.52112763457,0.000952152862162045,-60.4258664553324,-1.32988485384766
1047.28983823636,0.000952144713479864,-60.4259407909352,-1.37148394284888
1080.05237451625,0.000952136047143071,-60.4260198494926,-1.41438400408246
1113.83982648262,0.000952126830277389,-60.4261039310331,-1.45862569941001
1148.68425673755,0.000952117027922178,-60.4261933546384,-1.50425095917654
1184.61873090268,0.000952106602898201,-60.4262884596526,-1.55130302154924
1221.67734899679,0.00095209551566703,-60.4263896069682,-1.59982647305387
1259.89527779503,0.000952083724181576,-60.4264971803932,-1.64986729034266
1299.30878420042,0.000952071183727176,-60.426611588105,-1.70147288322907
1339.95526965934,0.000952057846752639,-60.4267332641964,-1.75469213902495
1381.87330565363,0.000952043662690646,-60.4268626703194,-1.80957546821664
1425.102670303,0.000952028577766805,-60.4270002974334,-1.86617485151743
1469.68438611245,0.000952012534796676,-60.4271466676637,-1.92454388833414
1515.6607589006,0.000951995472970001,-60.4273023362774,-1.98473784668656
1563.07541794582,0.000951977327621349,-60.4274678937851,-2.04681371461916
1611.97335738816,0.000951958029986315,-60.427643968175,-2.11083025314495
1662.40097892661,0.000951937506942386,-60.4278312272878,-2.17684805076209
1714.40613585197,0.000951915680733517,-60.4280303813431,-2.24492957958447
1768.03817845721,0.000951892468677399,-60.4282421856236,-2.31513925312781
1823.34800086844,0.000951867782854351,-60.4284674433308,-2.38754348579349
1880.38808934091,0.000951841529776689,-60.4287070086192,-2.46221075409253
1939.21257206583,0.000951813610037386,-60.4289617898233,-2.5392116596526
1999.87727053528,0.000951783917936709,-60.4292327528875,-2.61861899405095
2062.43975251409,0.000951752341085515,-60.4295209250127,-2.70050780551668
2126.95938666869,0.000951718759983731,-60.4298273985325,-2.78495546754516
2193.49739890506,0.000951683047572538,-60.4301533350333,-2.87204174946792
2262.11693046903,0.000951645068758607,-60.4304999697345,-2.96184888902064
2332.88309786416,0.00095160467990871,-60.4308686161437,-3.05446166695163
2405.86305464407,0.000951561728312884,-60.4312606710051,-3.14996748371256
2481.12605513777,0.000951516051614251,-60.4316776195582,-3.24845643827237
2558.74352016859,0.000951467477203463,-60.4321210411276,-3.35002140909418
2638.78910482893,0.000951415821575638,-60.4325926150627,-3.45475813731397
2721.33876837531,0.000951360889647544,-60.4330941270502,-3.56276531215796
2806.47084630984,0.000951302474032627,-60.4336274758224,-3.67414465863393
2894.26612471675,0.00095124035427138,-60.4341946802845,-3.78900102752931
2984.80791692433,0.000951174296014402,-60.434797887088,-3.90744248774659
3078.18214256508,0.000951104050155329,-60.4354393786772,-4.02958042100319
3174.47740910919,0.000951029351910709,-60.4361215818377,-4.15552961891966
3273.78509594858,0.000950949919843688,-60.4368470767771,-4.28540838251606
3376.19944111134,0.000950865454828261,-60.4376186067715,-4.4193386241317
3481.81763068897,0.000950775638950621,-60.4384390884114,-4.55744597177825
3590.73989106106,0.00095068013434401,-60.4393116224827,-4.6998598759304
3703.06958400514,0.000950578581953263,-60.4402395055233,-4.84671371875128
3818.91330478185,0.000950470600225062,-60.4412262420937,-4.99814492574302
3938.38098328849,0.000950355783719731,-60.4422755578056,-5.1542950798034
4061.58598837698,0.000950233701640196,-60.4433914131539,-5.31531003766121
4188.64523543527,0.000950103896273547,-60.4445780181994,-5.48134004865147
4319.67929733417,0.000949965881340422,-60.445839848153,-5.65253987578055
4454.81251884499,0.000949819140247257,-60.4471816599145,-5.82906891901781
4594.17313463648,0.000949663124236209,-60.448608509622,-6.01109134073606
4737.89339096314,0.000949497250427384,-60.4501257712711,-6.19877619320673
4886.10967116033,0.000949320899747791,-60.4517391564653,-6.39229754803834
5038.96262506515,0.000949133414741253,-60.4534547353638,-6.59183462742653
5196.5973024862,0.000948934097253314,-60.4552789588949,-6.79757193706251
5359.16329084851,0.000948722205985024,-60.4572186823065,-7.00969940052276
5526.8148571446,0.000948496953909291,-60.4592811901297,-7.2284124949362
5699.71109432608,0.000948257505543385,-60.4614742226342,-7.45391238769602
5878.01607227491,0.000948002974071016,-60.4638060038588,-7.68640607395159
